train acc = 3.2875, val acc = 5.6200
train acc = 5.8675, val acc = 9.2100
train acc = 7.5950, val acc = 9.8000
train acc = 8.9875, val acc = 13.9300
train acc = 10.5200, val acc = 15.1000
train acc = 11.9625, val acc = 17.4000
train acc = 14.2575, val acc = 19.3900
train acc = 15.6675, val acc = 23.4200
train acc = 17.1750, val acc = 23.7900
train acc = 19.0225, val acc = 25.9700
train acc = 20.5075, val acc = 30.1100
train acc = 21.1850, val acc = 24.5100
train acc = 22.3350, val acc = 29.8600
train acc = 22.9750, val acc = 30.8300
train acc = 23.6425, val acc = 29.7300
train acc = 24.9400, val acc = 32.3800
train acc = 24.9500, val acc = 31.2200
train acc = 25.9600, val acc = 35.3400
train acc = 26.4675, val acc = 29.2400
train acc = 26.7225, val acc = 33.5800
train acc = 27.4250, val acc = 33.1700
train acc = 27.8825, val acc = 36.7400
train acc = 28.7675, val acc = 36.2700
train acc = 28.7700, val acc = 37.0000
train acc = 29.3200, val acc = 38.8800
train acc = 29.5000, val acc = 38.4300
train acc = 30.2900, val acc = 38.3500
train acc = 31.0075, val acc = 36.2400
train acc = 31.0525, val acc = 40.3700
train acc = 31.5800, val acc = 38.8700
train acc = 31.3625, val acc = 36.2500
train acc = 31.8800, val acc = 41.9400
train acc = 32.5375, val acc = 41.7300
train acc = 33.0500, val acc = 42.1600
train acc = 33.3625, val acc = 42.6200
train acc = 33.3375, val acc = 43.6400
train acc = 33.9675, val acc = 44.2700
train acc = 34.3125, val acc = 42.9100
train acc = 34.8700, val acc = 44.0300
train acc = 35.0800, val acc = 42.6600
train acc = 34.9025, val acc = 43.7700
train acc = 35.9300, val acc = 45.4900
train acc = 36.5425, val acc = 45.5600
train acc = 36.7375, val acc = 45.8900
train acc = 37.2525, val acc = 45.6100
train acc = 37.3050, val acc = 44.8600
train acc = 37.7450, val acc = 44.6700
train acc = 38.4150, val acc = 47.9400
train acc = 38.1475, val acc = 46.7500
train acc = 38.7875, val acc = 49.1500
train acc = 39.4525, val acc = 49.7900
train acc = 39.7450, val acc = 49.0600
train acc = 40.1800, val acc = 48.5200
train acc = 40.8300, val acc = 48.8000
train acc = 41.1475, val acc = 49.5400
train acc = 41.7500, val acc = 49.2900
train acc = 41.5250, val acc = 51.1800
train acc = 42.7925, val acc = 50.2600
train acc = 43.0450, val acc = 50.5700
train acc = 44.0000, val acc = 52.6300
train acc = 44.6275, val acc = 51.6800
train acc = 45.2100, val acc = 50.8300
train acc = 46.0750, val acc = 53.7100
train acc = 46.2225, val acc = 53.2600
train acc = 46.4825, val acc = 53.3500
train acc = 47.8025, val acc = 51.3000
train acc = 48.3350, val acc = 53.5000
train acc = 49.1300, val acc = 53.6700
train acc = 49.7875, val acc = 54.4500
train acc = 50.2475, val acc = 55.6400
train acc = 51.1025, val acc = 54.3600
train acc = 51.9225, val acc = 56.7200
train acc = 53.3150, val acc = 55.7800
train acc = 53.4600, val acc = 56.4000
train acc = 54.8075, val acc = 57.2600
train acc = 55.4250, val acc = 57.9300
train acc = 57.1075, val acc = 58.3600
train acc = 57.8050, val acc = 57.4700
train acc = 58.3425, val acc = 58.2700
train acc = 59.8100, val acc = 58.1800
train acc = 60.2400, val acc = 59.0600
train acc = 61.4925, val acc = 59.4700
train acc = 62.7350, val acc = 58.9500
train acc = 63.5075, val acc = 59.9900
train acc = 64.2350, val acc = 60.3500
train acc = 65.3075, val acc = 60.5500
train acc = 66.4100, val acc = 60.9300
train acc = 67.3475, val acc = 61.1800
train acc = 68.2375, val acc = 60.7600
train acc = 68.9725, val acc = 60.8800
train acc = 69.8175, val acc = 61.6500
train acc = 69.5825, val acc = 61.3500
train acc = 70.5025, val acc = 61.9500
train acc = 71.2700, val acc = 61.7500
train acc = 71.6825, val acc = 61.7400
train acc = 72.0175, val acc = 62.1000
train acc = 72.4550, val acc = 62.0000
train acc = 72.3050, val acc = 61.9600
train acc = 72.6175, val acc = 62.0200
train acc = 72.5150, val acc = 61.9900
