train acc = 10.0900, val acc = 13.7000
train acc = 13.2000, val acc = 18.7500
train acc = 15.7350, val acc = 21.0800
train acc = 17.4325, val acc = 23.1100
train acc = 18.6725, val acc = 26.2700
train acc = 19.6875, val acc = 26.0800
train acc = 20.5200, val acc = 27.0700
train acc = 22.0050, val acc = 29.8200
train acc = 22.7950, val acc = 33.5200
train acc = 24.0950, val acc = 31.6600
train acc = 25.5900, val acc = 35.7600
train acc = 26.8050, val acc = 35.5500
train acc = 28.1750, val acc = 40.7300
train acc = 30.0200, val acc = 40.4000
train acc = 31.2325, val acc = 43.5500
train acc = 32.8750, val acc = 45.8700
train acc = 34.5275, val acc = 47.3400
train acc = 35.5650, val acc = 49.0500
train acc = 36.7625, val acc = 50.6900
train acc = 37.7675, val acc = 51.1800
