train acc = 9.6925, val acc = 13.3700
train acc = 12.8025, val acc = 18.0000
train acc = 14.9525, val acc = 20.9300
train acc = 16.3575, val acc = 22.4200
train acc = 17.7700, val acc = 23.6800
train acc = 18.4675, val acc = 26.6400
train acc = 19.5750, val acc = 28.7900
train acc = 20.9700, val acc = 27.7400
train acc = 21.5475, val acc = 31.3900
train acc = 22.1275, val acc = 31.1200
train acc = 23.4450, val acc = 33.9500
train acc = 24.3350, val acc = 33.9100
train acc = 25.2475, val acc = 36.4500
train acc = 26.6600, val acc = 38.9000
train acc = 27.8850, val acc = 40.1000
train acc = 29.2775, val acc = 42.4800
train acc = 30.9725, val acc = 44.5200
train acc = 31.6650, val acc = 45.8600
train acc = 32.3125, val acc = 46.4300
train acc = 33.3475, val acc = 47.4500
